[ 00:15:08.667 -->  00:15:09.023] 2 SPEAKER_02
[ 00:15:09.023 -->  00:15:09.601] 0 SPEAKER_00
[ 00:15:09.601 -->  00:15:13.811] 2 SPEAKER_02
[ 00:15:15.814 -->  00:15:17.461] 2 SPEAKER_02
[ 00:15:17.461 -->  00:15:17.529] 0 SPEAKER_00
[ 00:15:24.252 -->  00:15:24.388] 0 SPEAKER_00
[ 00:15:30.382 -->  00:15:30.602] 2 SPEAKER_02
[ 00:15:31.230 -->  00:15:31.943] 2 SPEAKER_02
[ 00:15:42.283 -->  00:15:42.691] 3 SPEAKER_03
[ 00:15:43.692 -->  00:15:45.764] 3 SPEAKER_03
[ 00:15:51.400 -->  00:16:09.719] 4 SPEAKER_04
[ 00:15:52.640 -->  00:15:52.691] 0 SPEAKER_00
[ 00:16:00.059 -->  00:16:00.466] 0 SPEAKER_00
[ 00:16:10.280 -->  00:16:11.196] 4 SPEAKER_04
[ 00:16:11.926 -->  00:16:15.016] 4 SPEAKER_04
[ 00:16:14.185 -->  00:16:16.205] 3 SPEAKER_03
[ 00:16:15.237 -->  00:16:17.359] 4 SPEAKER_04
[ 00:16:17.258 -->  00:16:24.575] 3 SPEAKER_03
[ 00:16:24.796 -->  00:16:29.006] 3 SPEAKER_03
[ 00:16:29.482 -->  00:16:56.816] 3 SPEAKER_03
[ 00:16:35.000 -->  00:16:36.341] 2 SPEAKER_02
[ 00:16:36.341 -->  00:16:36.392] 0 SPEAKER_00
[ 00:16:36.392 -->  00:16:36.935] 2 SPEAKER_02
[ 00:16:38.276 -->  00:16:38.633] 2 SPEAKER_02
[ 00:16:52.334 -->  00:16:52.385] 2 SPEAKER_02
[ 00:16:52.385 -->  00:16:55.067] 4 SPEAKER_04
[ 00:16:56.086 -->  00:17:04.626] 4 SPEAKER_04
[ 00:17:04.677 -->  00:17:10.008] 4 SPEAKER_04
[ 00:17:06.460 -->  00:17:07.903] 3 SPEAKER_03
[ 00:17:08.310 -->  00:17:17.920] 3 SPEAKER_03
[ 00:17:10.008 -->  00:17:10.025] 0 SPEAKER_00
[ 00:17:15.000 -->  00:17:15.339] 0 SPEAKER_00
[ 00:17:15.339 -->  00:17:15.356] 4 SPEAKER_04
[ 00:17:15.356 -->  00:17:15.424] 0 SPEAKER_00
[ 00:17:15.594 -->  00:17:15.662] 1 SPEAKER_01
[ 00:17:15.662 -->  00:17:15.831] 0 SPEAKER_00
[ 00:17:15.831 -->  00:17:16.612] 1 SPEAKER_01
[ 00:17:18.548 -->  00:17:19.617] 3 SPEAKER_03
[ 00:17:18.548 -->  00:17:20.093] 0 SPEAKER_00
[ 00:17:19.889 -->  00:17:23.726] 3 SPEAKER_03
[ 00:17:20.093 -->  00:17:20.280] 2 SPEAKER_02
[ 00:17:23.743 -->  00:17:37.869] 3 SPEAKER_03
[ 00:17:23.794 -->  00:17:23.998] 0 SPEAKER_00
[ 00:17:23.998 -->  00:17:24.049] 2 SPEAKER_02
[ 00:17:36.392 -->  00:17:38.174] 0 SPEAKER_00
[ 00:17:38.259 -->  00:17:39.787] 3 SPEAKER_03
[ 00:17:40.178 -->  00:17:44.219] 3 SPEAKER_03
[ 00:17:44.915 -->  00:17:50.908] 3 SPEAKER_03
[ 00:17:51.196 -->  00:17:54.898] 3 SPEAKER_03
[ 00:17:55.594 -->  00:18:00.823] 3 SPEAKER_03
[ 00:18:00.976 -->  00:18:05.033] 3 SPEAKER_03
[ 00:18:05.899 -->  00:18:07.325] 3 SPEAKER_03
[ 00:18:06.612 -->  00:18:21.740] 4 SPEAKER_04
[ 00:18:21.791 -->  00:18:22.640] 4 SPEAKER_04
[ 00:18:21.960 -->  00:18:25.475] 1 SPEAKER_01
[ 00:18:25.203 -->  00:18:26.884] 4 SPEAKER_04
[ 00:18:25.475 -->  00:18:25.543] 3 SPEAKER_03
[ 00:18:26.460 -->  00:18:37.071] 3 SPEAKER_03
